Year,Currency,Value,Type,Denom,Quantity
1977,Coins - 0000.5,1.97,Coins,0.5,3.94
1977,Notes - 0010,18.25,Notes,10.0,1.825
1977,Notes - 0005,5.72,Notes,5.0,1.144
1977,Notes - 0050,9.95,Notes,50.0,0.199
1977,Notes - 0002,1.48,Notes,2.0,0.74
1977,Notes - 0001,2.72,Notes,1.0,2.72
1977,Notes - 0100,43.02,Notes,100.0,0.43
1977,Coins - 0010,0.0,Coins,10.0,0.0
1977,Notes - 0500,0.0,Notes,500.0,0.0
1977,Coins - 0005,0.0,Coins,5.0,0.0
1977,Coins - 0002,0.0,Coins,2.0,0.0
1977,Notes - 1000,0.55,Notes,1000.0,0.001
1977,Coins - 0001,0.96,Coins,1.0,0.96
1977,Notes - 0020,6.9,Notes,20.0,0.345
1978,Notes - 0020,7.79,Notes,20.0,0.39
1978,Coins - 0002,0.0,Coins,2.0,0.0
1978,Coins - 0001,1.1,Coins,1.0,1.1
1978,Notes - 0002,1.74,Notes,2.0,0.87
1978,Coins - 0005,0.0,Coins,5.0,0.0
1978,Notes - 0005,5.76,Notes,5.0,1.152
1978,Notes - 0001,2.56,Notes,1.0,2.56
1978,Coins - 0000.5,2.09,Coins,0.5,4.18
1978,Notes - 0050,14.4,Notes,50.0,0.288
1978,Notes - 0100,53.69,Notes,100.0,0.537
1978,Coins - 0010,0.0,Coins,10.0,0.0
1978,Notes - 0010,19.57,Notes,10.0,1.957
1978,Notes - 0500,0.0,Notes,500.0,0.0
1978,Notes - 1000,0.0,Notes,1000.0,0.0
1979,Coins - 0002,0.0,Coins,2.0,0.0
1979,Notes - 0020,9.61,Notes,20.0,0.48
1979,Coins - 0000.5,2.25,Coins,0.5,4.5
1979,Coins - 0001,1.26,Coins,1.0,1.26
1979,Coins - 0005,0.0,Coins,5.0,0.0
1979,Notes - 0002,2.15,Notes,2.0,1.075
1979,Coins - 0010,0.0,Coins,10.0,0.0
1979,Notes - 0005,5.88,Notes,5.0,1.176
1979,Notes - 0001,2.14,Notes,1.0,2.14
1979,Notes - 0050,19.83,Notes,50.0,0.397
1979,Notes - 0500,0.0,Notes,500.0,0.0
1979,Notes - 0010,21.23,Notes,10.0,2.123
1979,Notes - 0100,59.51,Notes,100.0,0.595
1979,Notes - 1000,0.0,Notes,1000.0,0.0
1980,Notes - 0050,22.06,Notes,50.0,0.441
1980,Notes - 0500,0.0,Notes,500.0,0.0
1980,Coins - 0005,0.0,Coins,5.0,0.0
1980,Coins - 0000.5,2.43,Coins,0.5,4.86
1980,Notes - 0100,74.06,Notes,100.0,0.741
1980,Notes - 1000,0.0,Notes,1000.0,0.0
1980,Coins - 0001,1.41,Coins,1.0,1.41
1980,Notes - 0020,10.9,Notes,20.0,0.545
1980,Notes - 0001,2.07,Notes,1.0,2.07
1980,Notes - 0002,2.99,Notes,2.0,1.495
1980,Notes - 0005,6.34,Notes,5.0,1.268
1980,Notes - 0010,20.97,Notes,10.0,2.097
1980,Coins - 0002,0.0,Coins,2.0,0.0
1980,Coins - 0010,0.0,Coins,10.0,0.0
1981,Coins - 0002,0.0,Coins,2.0,0.0
1981,Notes - 0001,2.12,Notes,1.0,2.12
1981,Notes - 1000,0.0,Notes,1000.0,0.0
1981,Notes - 0050,27.24,Notes,50.0,0.545
1981,Notes - 0005,6.92,Notes,5.0,1.384
1981,Coins - 0010,0.0,Coins,10.0,0.0
1981,Notes - 0010,19.91,Notes,10.0,1.991
1981,Notes - 0020,12.14,Notes,20.0,0.607
1981,Coins - 0000.5,2.63,Coins,0.5,5.26
1981,Notes - 0002,3.92,Notes,2.0,1.96
1981,Coins - 0005,0.0,Coins,5.0,0.0
1981,Coins - 0001,1.54,Coins,1.0,1.54
1981,Notes - 0500,0.0,Notes,500.0,0.0
1981,Notes - 0100,78.29,Notes,100.0,0.783
1982,Notes - 0100,97.77,Notes,100.0,0.978
1982,Coins - 0002,0.0,Coins,2.0,0.0
1982,Coins - 0005,0.0,Coins,5.0,0.0
1982,Notes - 1000,0.0,Notes,1000.0,0.0
1982,Notes - 0001,2.05,Notes,1.0,2.05
1982,Notes - 0500,0.0,Notes,500.0,0.0
1982,Notes - 0020,14.33,Notes,20.0,0.716
1982,Notes - 0005,8.07,Notes,5.0,1.614
1982,Coins - 0010,0.0,Coins,10.0,0.0
1982,Notes - 0010,17.98,Notes,10.0,1.798
1982,Notes - 0050,30.17,Notes,50.0,0.603
1982,Notes - 0002,4.31,Notes,2.0,2.155
1982,Coins - 0001,1.72,Coins,1.0,1.72
1982,Coins - 0000.5,2.77,Coins,0.5,5.54
1983,Coins - 0010,0.0,Coins,10.0,0.0
1983,Notes - 0002,4.5,Notes,2.0,2.25
1983,Coins - 0005,0.0,Coins,5.0,0.0
1983,Notes - 0500,0.0,Notes,500.0,0.0
1983,Notes - 0050,36.26,Notes,50.0,0.725
1983,Notes - 0005,5.6,Notes,5.0,1.12
