year,Coins - 0000.5,Coins - 0001,Coins - 0002,Coins - 0005,Coins - 0010,Notes - 0001,Notes - 0002,Notes - 0005,Notes - 0010,Notes - 0020,Notes - 0050,Notes - 0100,Notes - 0500,Notes - 1000
1977,1.97,0.96,,,,2.72,1.48,5.72,18.25,6.90,9.95,43.02,,0.55
1978,2.09,1.10,,,,2.56,1.74,5.76,19.57,7.79,14.40,53.69,,
1979,2.25,1.26,,,,2.14,2.15,5.88,21.23,9.61,19.83,59.51,,
1980,2.43,1.41,,,,2.07,2.99,6.34,20.97,10.90,22.06,74.06,,
1981,2.63,1.54,,,,2.12,3.92,6.92,19.91,12.14,27.24,78.29,,
1982,2.77,1.72,,,,2.05,4.31,8.07,17.98,14.33,30.17,97.77,,
1983,2.90,3.03,,,,1.98,4.50,5.60,17.70,14.63,36.26,116.90,,
1984,3.07,2.37,,,,2.04,5.80,12.34,22.17,16.36,39.20,139.04,,
1985,3.66,3.08,,0.20,,2.38,6.50,13.03,25.36,17.84,43.10,150.18,,
1986,4.39,4.23,,0.17,,3.01,6.83,12.87,25.10,18.99,52.47,171.16,,
1987,4.98,5.01,,,,3.52,6.53,14.29,28.25,23.31,72.67,190.77,1.80,
1988,5.39,5.47,,,,3.60,6.81,14.82,29.96,26.13,94.59,212.08,2.30,
1989,6.40,5.83,,0.20,,3.48,8.04,17.39,35.15,31.00,125.53,237.78,12.57,
1990,6.85,6.16,0.23,,,3.35,8.83,18.10,37.85,29.52,148.12,245.70,21.77,
1991,7.29,,0.10,,,,9.42,24.00,52.02,27.43,177.19,322.66,18.54,
1992,7.80,,0.37,0.05,,,7.20,20.22,42.85,23.40,225.77,326.63,49.10,
1993,8.29,7.05,0.85,0.58,,3.28,6.24,18.60,53.34,16.31,249.91,377.84,113.03,
1994,8.81,7.95,1.59,1.15,,3.20,6.02,17.65,69.43,11.20,285.37,464.57,168.82,
1995,9.40,8.48,2.26,1.83,,3.22,5.15,16.51,92.18,7.18,316.59,551.05,208.73,
1996,9.91,9.00,2.86,4.40,,3.16,5.27,15.54,110.63,7.03,336.23,626.00,242.70,
1997,10.55,9.69,3.52,6.72,,3.19,5.50,14.27,124.12,9.79,342.45,701.59,279.75,
1998,11.16,10.76,4.97,8.56,,3.16,5.30,12.90,129.90,8.99,333.16,781.97,448.27,
1999,11.88,12.60,6.72,11.64,,3.08,5.12,11.52,132.82,10.10,332.30,858.31,572.50,
2000,13.00,13.93,8.14,15.44,,3.07,4.71,10.16,123.36,10.12,328.18,1081.41,529.47,37.19
2001,13.28,15.47,10.62,20.25,,3.08,5.38,12.64,119.89,15.31,356.01,1180.41,685.12,71.79
2002,13.46,16.92,12.10,24.19,,3.05,4.83,17.39,90.88,34.25,351.91,1153.86,938.13,159.71
2003,13.53,17.57,12.55,25.35,,2.99,4.72,22.76,77.50,43.83,330.27,1214.42,1229.38,274.73
2004,13.53,17.90,12.90,26.19,,2.99,4.62,20.86,67.70,38.76,299.41,1232.82,1527.28,420.82
2005,13.58,18.94,13.65,27.35,,2.99,4.51,19.80,62.74,40.77,278.42,1346.37,1823.32,643.46
2006,13.64,20.29,14.88,28.80,,3.01,4.47,18.87,71.55,41.78,279.51,1354.44,2254.00,936.76
2007,14.55,22.14,19.07,32.49,,3.00,6.36,21.11,93.33,41.08,265.08,1345.75,2631.08,1412.19
2008,14.55,23.96,22.36,35.70,,3.00,6.65,22.71,122.22,43.99,244.40,1370.28,3083.04,1917.84
2009,14.55,26.47,26.40,38.80,1.49,2.99,6.98,22.33,185.36,46.81,210.57,1383.64,3644.79,2382.52
2010,14.58,29.68,30.68,45.35,3.00,2.99,8.51,34.30,212.88,60.40,159.80,1402.43,4453.11,3027.13
2011,7.39,31.42,36.40,49.90,6.48,2.99,8.51,36.43,230.02,70.20,174.38,1411.88,5128.07,3468.81
2012,7.00,32.89,44.23,53.38,12.67,2.99,8.51,36.87,251.68,76.50,173.05,1442.10,5359.50,4299.00
2013,7.00,38.42,49.65,57.89,20.17,2.99,8.51,37.14,266.48,85.69,172.42,1476.46,5702.48,5081.37
2014,7.00,38.63,54.07,63.80,27.50,2.99,8.54,37.02,303.04,86.99,174.36,1502.65,6563.91,5612.45
2015,7.00,41.78,59.26,70.45,37.03,3.09,8.53,36.80,320.15,98.47,194.50,1577.83,7853.75,6325.68
